company_id,type,rule_id,text,confidence_pct
1,Pro,P02,Free cash flow is positive across the recent five years,85
1,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
1,Pro,P08,Dividend is supported by positive free cash flow,75
1,Pro,P10,ROE is improving over three consecutive years,75
1,Pro,P12,Assets are growing while borrowings decline,72
1,Con,C03,Operating margin is declining,75
1,Con,C12,Revenue CAGR is below 5%,80
2,Pro,P02,Free cash flow is positive across the recent five years,85
2,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
2,Pro,P08,Dividend is supported by positive free cash flow,75
2,Pro,P10,ROE is improving over three consecutive years,75
2,Pro,P12,Assets are growing while borrowings decline,72
2,Con,C03,Operating margin is declining,75
2,Con,C12,Revenue CAGR is below 5%,80
3,Pro,P02,Free cash flow is positive across the recent five years,85
3,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
3,Pro,P08,Dividend is supported by positive free cash flow,75
3,Pro,P10,ROE is improving over three consecutive years,75
3,Pro,P12,Assets are growing while borrowings decline,72
3,Con,C03,Operating margin is declining,75
3,Con,C12,Revenue CAGR is below 5%,80
4,Pro,P02,Free cash flow is positive across the recent five years,85
4,Pro,P08,Dividend is supported by positive free cash flow,75
4,Pro,P10,ROE is improving over three consecutive years,75
4,Pro,P12,Assets are growing while borrowings decline,72
4,Con,C03,Operating margin is declining,75
4,Con,C12,Revenue CAGR is below 5%,80
5,Pro,P02,Free cash flow is positive across the recent five years,85
5,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
5,Pro,P08,Dividend is supported by positive free cash flow,75
5,Pro,P10,ROE is improving over three consecutive years,75
5,Pro,P12,Assets are growing while borrowings decline,72
5,Con,C03,Operating margin is declining,75
5,Con,C12,Revenue CAGR is below 5%,80
6,Pro,P02,Free cash flow is positive across the recent five years,85
6,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
6,Pro,P08,Dividend is supported by positive free cash flow,75
6,Pro,P10,ROE is improving over three consecutive years,75
6,Pro,P12,Assets are growing while borrowings decline,72
6,Con,C12,Revenue CAGR is below 5%,80
7,Pro,P02,Free cash flow is positive across the recent five years,85
7,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
7,Pro,P08,Dividend is supported by positive free cash flow,75
7,Pro,P10,ROE is improving over three consecutive years,75
7,Pro,P12,Assets are growing while borrowings decline,72
7,Con,C12,Revenue CAGR is below 5%,80
8,Pro,P02,Free cash flow is positive across the recent five years,85
8,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
8,Pro,P08,Dividend is supported by positive free cash flow,75
8,Pro,P10,ROE is improving over three consecutive years,75
8,Pro,P12,Assets are growing while borrowings decline,72
8,Con,C03,Operating margin is declining,75
8,Con,C12,Revenue CAGR is below 5%,80
9,Pro,P02,Free cash flow is positive across the recent five years,85
9,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
9,Pro,P08,Dividend is supported by positive free cash flow,75
9,Pro,P10,ROE is improving over three consecutive years,75
9,Pro,P12,Assets are growing while borrowings decline,72
9,Con,C12,Revenue CAGR is below 5%,80
10,Pro,P02,Free cash flow is positive across the recent five years,85
10,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
10,Pro,P08,Dividend is supported by positive free cash flow,75
10,Pro,P10,ROE is improving over three consecutive years,75
10,Pro,P12,Assets are growing while borrowings decline,72
10,Con,C03,Operating margin is declining,75
10,Con,C12,Revenue CAGR is below 5%,80
11,Pro,P02,Free cash flow is positive across the recent five years,85
11,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
11,Pro,P08,Dividend is supported by positive free cash flow,75
11,Pro,P10,ROE is improving over three consecutive years,75
11,Pro,P12,Assets are growing while borrowings decline,72
11,Con,C12,Revenue CAGR is below 5%,80
12,Pro,P02,Free cash flow is positive across the recent five years,85
12,Pro,P08,Dividend is supported by positive free cash flow,75
12,Pro,P10,ROE is improving over three consecutive years,75
12,Pro,P12,Assets are growing while borrowings decline,72
12,Con,C03,Operating margin is declining,75
12,Con,C12,Revenue CAGR is below 5%,80
13,Pro,P02,Free cash flow is positive across the recent five years,85
13,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
13,Pro,P08,Dividend is supported by positive free cash flow,75
13,Pro,P10,ROE is improving over three consecutive years,75
13,Pro,P12,Assets are growing while borrowings decline,72
13,Con,C03,Operating margin is declining,75
13,Con,C12,Revenue CAGR is below 5%,80
14,Pro,P02,Free cash flow is positive across the recent five years,85
14,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
14,Pro,P08,Dividend is supported by positive free cash flow,75
14,Pro,P10,ROE is improving over three consecutive years,75
14,Pro,P12,Assets are growing while borrowings decline,72
14,Con,C03,Operating margin is declining,75
14,Con,C12,Revenue CAGR is below 5%,80
15,Pro,P02,Free cash flow is positive across the recent five years,85
15,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
15,Pro,P08,Dividend is supported by positive free cash flow,75
15,Pro,P10,ROE is improving over three consecutive years,75
15,Pro,P12,Assets are growing while borrowings decline,72
15,Con,C12,Revenue CAGR is below 5%,80
16,Pro,P02,Free cash flow is positive across the recent five years,85
16,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
16,Pro,P08,Dividend is supported by positive free cash flow,75
16,Pro,P10,ROE is improving over three consecutive years,75
16,Pro,P12,Assets are growing while borrowings decline,72
16,Con,C12,Revenue CAGR is below 5%,80
17,Pro,P02,Free cash flow is positive across the recent five years,85
17,Pro,P07,Interest coverage exceeds 10 or the company is debt free,88
17,Pro,P08,Dividend is supported by positive free cash flow,75
17,Pro,P10,ROE is improving over three consecutive years,75
17,Pro,P12,Assets are growing while borrowings decline,72
17,Con,C03,Operating margin is declining,75
17,Con,C12,Revenue CAGR is below 5%,80
